name,description,price
Magnetic Phone Case,Stylish case with magnetic closure for smartphones.,19.99
Electric Razor,Rechargeable electric razor for a smooth shave.,59.99
Stainless Steel Travel Mug,Insulated mug to keep drinks hot on the go.,19.99
Gluten-Free Biscuits,Fluffy biscuits made without gluten,3.79
Smartphone Photography Tripod,Lightweight tripod designed for smartphone photography.,29.99
Pasta Maker,Manual pasta maker for homemade pasta.,39
Whisk Set,Set of whisks in various sizes for cooking.,12.99
Chocolate Hazelnut Granola,Crunchy granola with chocolate and hazelnuts for breakfast.,4.49
Gardening Gloves,Durable gardening gloves with reinforced fingertips.,15.99
Multi-Function Smartphone Holder,"Versatile holder that can be used on desks, cars, and more.",12.99
Insulated Sport Tumbler,Vacuum-insulated tumbler for beverages on the go.,22.99
LED Flashlight,Bright LED flashlight with adjustable beam.,19.99
LED Canopy Lights,Energy-efficient lights to illuminate outdoor areas.,29.99
Cucumber Lime Sparkling Water,Refreshing sparkling water with cucumber and lime flavor.,1.49
Fruit and Nut Medley,A healthy mix of assorted dried fruits and nuts for snacking.,5.99
Fresh Lemons,Citrusy lemons perfect for drinks and cooking.,0.75
Wall-Mounted Organizer,Practical organizer for keeping your home tidy and clutter-free.,34.99
Himalayan Salt Grinder,"Natural pink salt, perfect for seasoning.",4.99
Key Finder,Bluetooth-enabled key tracker to find lost items easily.,19.99
Chicken Sausage,"Flavorful chicken sausage, low in fat and fully cooked.",6.99
Travel Laundry Bag,Compact laundry bag for travel use.,9.99
Raspberry Tart,A delicious tart filled with fresh raspberry filling.,5.49
Tomato Sauce,Rich and flavorful tomato sauce for pasta or pizza.,2.79
Solar String Lights,Eco-friendly string lights for outdoor decor.,29.99
Frozen Hash Browns,"Shredded potatoes, perfect for breakfasts.",2.99
Garlic Parmesan Wings,Frozen chicken wings with garlic parmesan sauce.,8.99
Classic Vanilla Fudge,"Creamy vanilla fudge, a sweet treat for all occasions.",4.49
Infrared Thermometer Gun,Non-contact thermometer for quick and easy temperature readings.,29.99
Travel Jewelry Organizer,Compact storage for your jewelry while traveling.,19.99
Coconut Oil,Versatile organic coconut oil for cooking and baking.,6.49
Berries Medley,"A mix of fresh raspberries, blueberries, and blackberries.",6.99
Plant Pot Drip Trays,Prevent water damage with drip trays for potted plants.,9.99
Spicy Snack Mix,A crunchy blend of nuts and pretzels with a spicy kick.,4.99
Pretzel Bites,"Soft pretzel bites, perfect for dipping in mustard or cheese sauce.",4.99
Electric Skillet,Versatile electric skillet for stir-frying and searing.,49.99
Digital Alarm Clock,Snooze function and LED display for easy reading.,19.99
Reusable Silicone Food Storage Bags,Eco-friendly bags for storing food without plastic waste.,19.99
Garden Tool Belt,Handy belt for carrying garden tools while working.,22.99
Dog Frisbee Toy,Durable and soft frisbee designed for dogs to play with.,10.99
Homestyle Chicken Noodle Soup,Classic chicken noodle soup with tender chicken and vegetables.,2.99
Customizable Name Plate,Personalized nameplate for offices or homes.,19.99
Comfort Flats,Everyday flats that combine comfort and style.,44.99
Butternut Squash Ravioli,"Delicate ravioli filled with roasted butternut squash and spices, perfect with a sage butter sauce.",6.29
Brown Sugar,"Raw brown sugar, perfect for baking or sweetening drinks.",1.79
Children's Art Set,All-in-one art set for kids to unleash creativity.,34.99
Portable Speaker Stand,Adjustable stand for portable speakers and devices.,39.99
Toy Building Set,Creative building set for kids to spark imagination.,29.99
Air Purifier,HEPA air purifier for clean indoor air.,129.99
Sporty Leggings,Functional leggings designed for maximum comfort during workouts.,39.99
Silicone Baking Cups,Set of reusable baking cups for muffins and cupcakes.,10.99
Basic V-Neck T-Shirt,A staple v-neck t-shirt that pairs well with anything.,19.99
Coffee Maker,Single-serve coffee maker with a built-in grinder.,89.99
Pet Nail Clipper,Safe and easy-to-use nail clippers for pets.,12.99
Lemon Garlic Marinade,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish.",4.29
Sweet Cherry Tomatoes,Fresh and juicy cherry tomatoes for salads and snacking.,2.99
Mini Food Processor,Compact food processor for quick meal prep.,39.99
Organic Green Lentils,"Nutty flavored lentils, perfect for soups and salads.",3.99
Laptop Stand,Adjustable laptop stand for better ergonomics.,29.99
Pet Grooming Glove,Gentle glove for brushing and massaging your pet.,12.99
Raspberry Lemonade Mix,"A refreshing drink mix that combines sweet raspberries and tart lemons, perfect for summer.",3.99
V-Neck Sweater,Classic V-neck sweater crafted from soft wool for warmth and style.,49.99
Sour Cream,"Tangy sour cream, perfect for dips and toppings.",3.49
Mediterranean Chickpea Bowl,"Chickpeas served with olives, feta, and hummus, a healthy meal.",6.49
Non-Stick Grill Pan,Heavy-duty grill pan for indoor grilling.,39.99
Electric Pressure Washer,Powerful electric pressure washer for deep cleaning.,199.99
Ginger Turmeric Latte Mix,A warming blend of ginger and turmeric for lattes.,5.29
Glass Water Bottle,Borosilicate glass water bottle with silicone sleeve.,25.99
Peach Halves (canned),"Sweet peach halves packed in juice, great for desserts.",2.49
Compressed Towel Tablets,"Compact towels that expand when wet, ideal for travel.",12.99
Foam Roller for Muscle Recovery,Use this foam roller for effective post-workout recovery.,29.99
Frozen Chicken Nuggets,Crispy chicken nuggets for quick meals.,4.49
Classic Cheeseburger Mix,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",5.49
Wrap Front Midi Skirt,"Elegant midi skirt with a wrap design, great for both formal and casual events.",44.99
Compact Dishwasher,Countertop dishwasher for small kitchens.,299.99
Handcrafted Wooden Coasters,Set of unique wooden coasters for drinks and decor.,19.99
Truffle Parmesan Fries,"Crispy fries tossed in truffle oil and parmesan, a gourmet snack.",4.99
Pet Tracking Collar,GPS pet collar that helps locate your pet via smartphone app.,59.99
Fresh Basil,"Aromatic fresh basil, perfect for Italian cooking.",1.99
Tea Set with Infuser,Elegant tea set that includes an infuser for brewing.,34.99
Organic Quinoa,Nutritious organic quinoa for salads or sides,4.29
Vegetable Quinoa Bowl,"A frozen meal featuring quinoa and mixed vegetables, ready to heat and eat.",5.99
Fashionable Scarves Set,Stylish scarves to accessorize any outfit.,24.99
Portable Camping Stove,Compact camp stove for outdoor cooking.,49.99
Children's Garden Tool Set,Colorful and child-friendly gardening tools for little hands.,22.99
Classic Slim Fit Shirt,A tailored slim fit shirt for a polished look at work.,49.99
Pet Grooming Gloves,Gentle grooming gloves for shedding pets.,9.99
Chocolate Dipped Fruit,"Fruits dipped in rich chocolate, perfect for desserts.",5.99
Knitted Infinity Scarf,A warm knitted scarf to keep you cozy in winter.,29.99
Bicycle Repair Kit,Essential tools for on-the-go bike maintenance.,14.99
Spiralizer,Vegetable spiralizer for healthy meals.,22.99
Savory Quinoa Pudding,"A delicious savory quinoa pudding, great as a side dish.",2.99
Smartphone Stand,Adjustable stand for smartphones and tablets.,15.49
Noise-Canceling Earbuds,Wireless earbuds designed for immersive sound experience.,79.99
USB Desk Fan,Compact USB fan for personal cooling.,14.99
Creative Puzzle Game,Challenging and fun puzzle game for all ages.,19.99
Savory Mushroom Risotto,Creamy risotto infused with wild mushrooms.,6.49
Sliced Bell Peppers,Fresh sliced bell peppers for salads or stir-fries.,3.99
Pumpkin Spice Coffee,"Coffee blend infused with pumpkin spice, perfect for fall.",7.99
Vegetable Sushi Rolls,Fresh sushi rolls filled with a variety of vegetables.,5.99
Free-Range Eggs,Fresh eggs from free-range chickens.,3.99
Sweet Cherry Tomatoes,Fresh and juicy cherry tomatoes for salads and snacking.,2.99
Cat Scratching Post with Toys,Multi-level scratching post to keep your cat entertained.,44.99
Blackberry Compote,"Sweet blackberry compote, perfect for topping desserts.",5.29
Chocolate Mint Protein Shake,A nutritious shake with rich chocolate and refreshing mint flavors.,3.99
Ginger Snaps,Spicy ginger cookies that are crunchy and delicious.,2.79
Rechargeable Electric Screwdriver,Convenient electric screwdriver for DIY projects at home.,39.99
Roasted Garlic Aioli,Flavored aioli made with roasted garlic,3.79
Mashed Sweet Potatoes,Creamy mashed sweet potatoes with a hint of cinnamon.,3.99
Mini Projector for Smartphones,Compact and portable projector for watching videos anywhere.,99.99
Chia Seed Pudding,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",3.99
Buttermilk Pancakes,Fluffy pancakes with buttermilk flavor.,3.99
Fashionable Belt Bag,Trendy belt bag for hands-free carrying.,34.99
Strawberry Banana Smoothie Pack,Frozen smoothie pack with strawberries and bananas.,4.99
Casual Long Cardigan,A cozy long cardigan designed for layering in any season.,45.99
Tuna Fish (canned),"Wild-caught tuna in olive oil, perfect for salads.",2.29
Creamy Tomato Basil Soup,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",3.29
Steak Seasoning Rub,A blend of spices perfect for seasoning steak.,2.49
Sweet Potato Noodles,"Pasta alternative made from sweet potatoes, gluten-free and rich in flavor.",3.79
Miso Soup Starter,Miso paste for making traditional Japanese miso soup.,2.99
Plant-Based Cookbook,Delicious recipes focusing on plant-based ingredients.,29.99
Smoked Gouda Cheese,Rich and creamy smoked Gouda cheese perfect for snacking.,5.49
Peanut Butter Cookies,Soft and chewy cookies made with creamy peanut butter.,3.49
Electric Kettle with Temperature Control,Electric kettle that offers precise temperature settings.,49.99
Reversible Swimming Pool Lounger,Floating lounger for relaxation in swimming pools or lakes.,34.99
Home Karaoke System,Complete karaoke system with microphones and speakers.,129.99
Thai Red Curry Paste,Spicy and flavorful curry paste for authentic Thai dishes.,3.99
Portable Dog Water Bottle,Convenient water bottle for pets on the go.,18.99
Beef Stroganoff Meal Kit,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,12.99
Egg Noodles,"Wide egg noodles, perfect for casseroles and soups.",2.29
Multi-Purpose Plant Care Tool,"All-in-one tool for measuring soil moisture, light, and pH.",24.99
Portable Camping Shower,Convenient shower system for camping and outdoor activities.,39.99
Set of Gardening Gloves with Claws,Multi-functional gloves for planting and digging without tools.,15.99
Dried Cranberries,"Sweet and tart dried cranberries, great for salads and baking.",4.29
Printed Maxi Skirt,A colorful printed maxi skirt for a bohemian look.,39.99
Garden Hoses with Expandable Features,"Lightweight, expandable hoses for easy handling.",34.99
Pecan Nuts,"Nutty, crunchy pecans great for baking.",6.49
Kids' Gardening Tools Set,Fun and colorful gardening tools designed for children.,22.99
LED Strip Lights Kit,DIY LED strip lights with remote control.,29.99
Kids' Learning Tablet,Educational tablet designed for preschool-age children.,129.99
Outdoor Picnic Blanket,Water-resistant blanket for picnics and outdoor events.,34.99
Wrap Jumpsuit,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.,54.99
Faux Fur Throw Blanket,Cozy faux fur blanket to add warmth and style to your home.,39.99
Home Delivery Food Journal,Track your meals and nutrition with this handy food journal.,14.99
Italian Herb Balsamic Marinade,"A rich marinade perfect for meats and vegetables, infused with Italian herbs and balsamic vinegar.",3.99
Portable Solar Path Lights,Eco-friendly solar lights for pathways and gardens.,39.99
Feta Cheese Crumbles,"Crumbled feta cheese, perfect for salads and Mediterranean dishes.",2.49
Stuffed Bell Peppers,Bell peppers stuffed with rice and vegetables,5.99
Electric Food Slicer,"Versatile slicer for meats, cheeses, and vegetables.",99.99
3D Night Light,Color-changing 3D night light for kids' rooms.,19.99
Noise-Canceling Earbuds,Wireless earbuds designed for immersive sound experience.,79.99
Californian Raisins,"Sweet dried raisins, perfect for snacks or baking.",3.19
Fitness Jump Rope with LCD Counter,Weighted jump rope that counts jumps and calories burned.,15.99
Mini Meatballs,Frozen mini meatballs that are great as a snack or in pasta dishes.,5.99
Multifunctional Baby Bottle Warmer,Warmer for heating baby bottles and food jars.,39.99
Portable Charger with Solar Panel,Eco-friendly charger with a built-in solar panel for outdoor use.,45.99
Portable Jump Starter,Compact jump starter for emergency vehicle starts.,59.99
Portable SSD,"Fast and compact external solid state drive, 1TB.",129.99
Blueberry Muffin Mix,Make delightful blueberry muffins at home with this easy mix.,4.29
Spaghetti and Meatball Dinner Kit,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner.",7.99
Pineapple Coconut Bars,Refreshing dessert bars made with pineapple and coconut.,3.79
Dried Mango Slices,"Sweet and chewy dried mango slices, perfect for snacking.",3.49
Buffalo Chicken Dip,"Spicy and creamy dip made with shredded chicken, perfect for parties.",5.99
Caraway Rye Bread,Artisan bread with caraway seeds for added flavor.,4.79
Coconut Cream Pie Yogurt,"Yogurt with the flavors of coconut cream pie, nice and indulgent.",1.99
Cereal Dispenser with Portion Control,Maintain freshness and dispense cereal easily.,24.99
Car Diagnostic Scanner,Tool to check car engine codes and performance issues.,49.99
Spinach and Cheese Quiche,Savory quiche loaded with spinach and cheese.,5.49
Sporty Cap,Stylish cap to complete your athletic look.,15.99
Spicy Chicken Wings,"Wide range of flavored wings, perfect for parties or casual snacking.",9.99
Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,6.49
Peach Slices in Syrup,"Sweet and tender peach slices preserved in syrup, great for desserts.",2.59
Crispy Chickpeas,Roasted chickpeas seasoned for a crunchy snack.,2.99
Organic Coconut Oil,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care.",8.99
Cookbook,Inspiring cookbook with healthy recipes.,27.99
Chickpeas,"Canned chickpeas, perfect for hummus or salads.",1.29
Wine Glasses,Set of elegant wine glasses for special occasions.,29.99
Californian Raisins,"Sweet dried raisins, perfect for snacks or baking.",3.19
Vegetable Pizza Rolls,"Frozen pizza rolls filled with vegetables and cheese, perfect for snacks.",6.49
Wireless HDMI Receiver,Stream HD video wirelessly from devices to TV.,49.99
Infrared Space Heater,Energy-efficient infrared heater for home use.,99.99
Wild Rice Pilaf,"A mix of wild rice with herbs and spices, ready to serve.",3.79
Travel Jewelry Case,Portable case to organize and protect jewelry on trips.,24.99
Home Cleaning Robot,Automated cleaning robot for hassle-free home maintenance.,249.99
Pet Training Clicker,Simple tool to train your pet with positive reinforcement.,5.99
Art Supplies Organizer,Storage organizer for art supplies and tools.,18.99
Electric Pressure Cooker,"Multi-function pressure cooker that can sauté, steam, and slow cook.",89.99
Classic Baseball Cap,A timeless baseball cap that adds a sporty touch to any outfit.,24.99
Kitchen Scale,Digital scale for precise cooking measurements.,19.99
Caramel Apple Chips,Crispy apple chips drizzled with caramel for a sweet treat.,3.49
Dog Collar,Adjustable dog collar with personalized tags.,15.99
Classic Black Dress,A versatile black dress that can be styled for any occasion.,79.99
Smartphone Tripod with Remote,Adjustable tripod with remote shutter for smartphones.,29.99
Pepper Jack Cheese Sticks,"A spicy, flavorful cheese stick great for snacks or lunchboxes.",2.49
Lemon Dill Chicken Skewers,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection.",9.99
Oven Thermometer,High-precision oven thermometer for accurate cooking.,11.99
Air Mattress,Inflatable air mattress for convenient sleeping.,49.99
Balsamic Glazed Brussels Sprouts,Roasted Brussels sprouts drizzled with balsamic glaze.,4.99
Fitness Resistance Bands Kit,Set with various resistance bands for workouts.,29.99
Granola,Crunchy and flavorful mix of oats and honey.,4.79
Electric Wine Opener,Rechargeable electric wine opener for effortless uncorking.,29.99
Home Cleaning Robot,Automated cleaning robot for hassle-free home maintenance.,249.99
Coconut Macaroons,"Chewy cookies made with coconut, perfect for sweet cravings.",4.99
Blackberry Jam,Delicious homemade style blackberry jam.,4.29
Classic Black Dress,A versatile black dress that can be styled for any occasion.,79.99
Hibiscus Herbal Tea,"Floral and refreshing herbal tea, great hot or iced.",3.29
Harvest Grain Salad,"A hearty salad with grains, dried fruits, and nuts.",5.49
Almond Milk Yogurt,"Creamy yogurt made from almond milk, vegan-friendly.",1.99
Vegetarian Stir Fry Sauce,Flavorful sauce perfect for stir-frying vegetables and tofu.,2.49
Foldable Electric Scooter,Compact electric scooter for commuting and short trips.,349.99
Self-Watering Planter,Planter with self-watering feature for easy plant care.,24.99
Garden Kneeler and Seat,Convertible kneeler and seat for gardening comfort.,39.99
Board Game Storage,Organize your board games with this storage bin.,19.99
Almond Butter Cookies,Soft cookies made with almond butter,4.49
Honey Mustard Chicken Breasts,Marinated chicken breasts coated in a sweet honey mustard glaze.,8.99
Peas (frozen),"Frozen green peas, a great addition to meals.",1.89
Voice-Controlled Speaker,Smart speaker with Alexa and music streaming features.,99.99
Ice Cube Tray with Lid,Silicone tray for making ice cubes with a lid to prevent spills.,10.99
Oven-Baked Potato Chips,Light and crispy baked potato chips in assorted flavors.,2.79
Cotton Pajama Set,Soft cotton pajama set for cozy nights in.,49.99
Sustainable Wooden Toys,Eco-friendly toys for learning and imaginative play.,29.99
Pet Hair Removal Brush,Effective brush for removing loose hair from pets.,14.99
Quinoa & Black Bean Salad,A nutritious salad with quinoa and black beans,7.49
Ice Pack,Reusable gel ice pack for injuries and cooling.,8.99
Lentil Vegetable Stew,"Hearty stew made with lentils and mixed vegetables, vegan-friendly.",4.49
Classic Leather Wallet,A sleek leather wallet that combines style and functionality.,34.99
Sweet Chili Sauce,"A sweet and spicy sauce, great for dipping or cooking.",2.99
Puzzle,Challenging 1000-piece jigsaw puzzle for all ages.,27.99
Savory Pumpkin Soup,Creamy pumpkin soup with spices,3.89
Wireless Printer,Compact wireless printer for home use.,99.99
Creamy Garlic Dressing,"Rich and creamy dressing with garlic flavor, perfect for salads.",3.99
Frozen Pizza,Delicious frozen pizza with a variety of toppings.,7.99
Pork Tenderloin,"Juicy pork tenderloin, great for roasting.",10.99
Air Purifier,HEPA air purifier for clean indoor air.,129.99
Over-the-Door Hooks,Convenient hooks that utilize door space for hanging items.,12.99
Lemon Lime Sparkling Water,Refreshing sparkling water with lemon and lime flavor,1.99
Beach Cover-Up,"Lightweight cover-up perfect for the beach, with a breezy design.",29.99
Air Fryer Oven,"Versatile air fryer that also roasts, bakes, and broils.",149.99
Classic Black Trousers,Timeless black trousers for a smart and sophisticated look.,54.99
Luxe Velvet Blazer,Elevate your outfit with this sophisticated velvet blazer.,89.99
Garlic Parmesan Wings,Frozen chicken wings with garlic parmesan sauce.,8.99
Garlic and Herb Cream Cheese,Spreadable cream cheese with garlic and herbs.,3.49
Snack Container Set,Stackable containers for organizing snacks and treats.,19.99
USB Flash Drive,32GB USB flash drive with fast data transfer speeds.,9.99
Leather Crossbody Bag,A chic leather crossbody bag for everyday use.,89.99
Plant-Based Protein Bars,Nutritious protein bars for on-the-go snacking.,19.99
Personal Blender with Cups,Compact blender that comes with travel cups for smoothies.,34.99
Roasted Garlic Mashed Potatoes,Creamy mashed potatoes infused with roasted garlic flavor.,3.99
Garlic Breadsticks,"Ready-to-bake garlic breadsticks, perfect with pasta dishes.",3.49
Stainless Steel Straws,Set of reusable stainless steel straws for drinks.,12.99
Peach & Mango Salsa,"A zesty salsa made with peaches and mangos, great for chips.",4.49
Smoked Paprika Chicken Thighs,Marinated chicken thighs with smoked paprika for a smoky flavor.,6.99
Car Trash Can,Compact trash can for keeping your car clean.,12.99
Frozen Acai Bowl,Healthy frozen acai bowl with toppings.,6.49
